id_municipio;cd_municipio_ibge;nome
896;37;TERRITORIO ALTO JEQUITINHONHA
897;38;TERRITORIO ALTO JEQUITINHONHA
898;33;TERRITORIO CAPARAO
899;27;TERRITORIO CENTRAL
900;32;TERRITORIO MATA
901;26;TERRITORIO METROPOLITANO
902;36;TERRITORIO MUCURI
903;39;TERRITORIO MEDIO E BAIXO JEQUITINHONHA
904;41;TERRITORIO NOROESTE
905;40;TERRITORIO NORTE
906;28;TERRITORIO OESTE
907;29;TERRITORIO SUDOESTE
908;30;TERRITORIO SUL
909;42;TERRITORIO TRIANGULO NORTE
910;43;TERRITORIO TRIANGULO SUL
911;34;TERRITORIO VALE DO ACO
912;35;TERRITORIO VALE DO RIO DOCE
913;31;TERRITORIO VERTENTES
1;3100104;ABADIA DOS DOURADOS
2;3100203;ABAETE
3;3100302;ABRE CAMPO
4;3100401;ACAIACA
5;3100500;ACUCENA
6;3100609;AGUA BOA
7;3100708;AGUA COMPRIDA
8;3100807;AGUANIL
9;3100906;AGUAS FORMOSAS
10;3101003;AGUAS VERMELHAS
11;3101102;AIMORES
12;3101201;AIURUOCA
13;3101300;ALAGOA
14;3101409;ALBERTINA
15;3101508;ALEM PARAIBA
16;3101607;ALFENAS
17;3101631;ALFREDO VASCONCELOS
18;3101706;ALMENARA
19;3101805;ALPERCATA
20;3101904;ALPINOPOLIS
21;3102001;ALTEROSA
22;3102050;ALTO CAPARAO
23;3153509;ALTO JEQUITIBA
24;3102100;ALTO RIO DOCE
25;3102209;ALVARENGA
26;3102308;ALVINOPOLIS
27;3102407;ALVORADA DE MINAS
28;3102506;AMPARO DA SERRA
29;3102605;ANDRADAS
30;3102803;ANDRELANDIA
31;3102852;ANGELANDIA
32;3102902;ANTONIO CARLOS
33;3103009;ANTONIO DIAS
34;3103108;ANTONIO PRADO DE MINAS
35;3103207;ARACAI
36;3103306;ARACITABA
37;3103405;ARACUAI
38;3103504;ARAGUARI
39;3103603;ARANTINA
40;3103702;ARAPONGA
41;3103751;ARAPORA
42;3103801;ARAPUA
43;3103900;ARAUJOS
44;3104007;ARAXA
45;3104106;ARCEBURGO
46;3104205;ARCOS
47;3104304;AREADO
48;3104403;ARGIRITA
49;3104452;ARICANDUVA
50;3104502;ARINOS
51;3104601;ASTOLFO DUTRA
52;3104700;ATALEIA
53;3104809;AUGUSTO DE LIMA
54;3104908;BAEPENDI
55;3105004;BALDIM
56;3105103;BAMBUI
57;3105202;BANDEIRA
58;3105301;BANDEIRA DO SUL
59;3105400;BARAO DE COCAIS
60;3105509;BARAO DE MONTE ALTO
61;3105608;BARBACENA
62;3105707;BARRA LONGA
63;3105905;BARROSO
64;3106002;BELA VISTA DE MINAS
65;3106101;BELMIRO BRAGA
66;3106200;BELO HORIZONTE
67;3106309;BELO ORIENTE
68;3106408;BELO VALE
69;3106507;BERILO
70;3106655;BERIZAL
71;3106606;BERTOPOLIS
72;3106705;BETIM
73;3106804;BIAS FORTES
74;3106903;BICAS
75;3107000;BIQUINHAS
76;3107109;BOA ESPERANCA
