id_tempo;anomes_iso;mes;ano;anomes_formatado
1009;202211;11;2022;11/2022
1010;202212;12;2022;12/2022
1011;202300;0;2023;00/2023
1012;202314;14;2023;14/2023
1013;202313;13;2023;13/2023
1014;202301;1;2023;01/2023
1015;202302;2;2023;02/2023
1016;202303;3;2023;03/2023
1017;202304;4;2023;04/2023
1018;202305;5;2023;05/2023
1019;202306;6;2023;06/2023
1020;202307;7;2023;07/2023
1021;202308;8;2023;08/2023
1022;202309;9;2023;09/2023
1023;202310;10;2023;10/2023
1024;202311;11;2023;11/2023
1025;202312;12;2023;12/2023
1026;202400;0;2024;00/2024
1027;202414;14;2024;14/2024
1028;202413;13;2024;13/2024
1029;202401;1;2024;01/2024
1030;202402;2;2024;02/2024
1031;202403;3;2024;03/2024
1032;202404;4;2024;04/2024
1033;202405;5;2024;05/2024
1034;204603;3;2046;03/2046
1035;204604;4;2046;04/2046
1036;204605;5;2046;05/2046
1037;204606;6;2046;06/2046
1038;204607;7;2046;07/2046
1039;204608;8;2046;08/2046
1040;204609;9;2046;09/2046
1041;204700;0;2047;00/2047
1042;204610;10;2046;10/2046
1043;204611;11;2046;11/2046
1044;204612;12;2046;12/2046
1045;204714;14;2047;14/2047
1046;204713;13;2047;13/2047
1047;204701;1;2047;01/2047
1048;204702;2;2047;02/2047
1049;204703;3;2047;03/2047
1050;204704;4;2047;04/2047
1051;204705;5;2047;05/2047
1052;204706;6;2047;06/2047
1053;204707;7;2047;07/2047
1054;204708;8;2047;08/2047
1055;204709;9;2047;09/2047
1056;204710;10;2047;10/2047
1057;204711;11;2047;11/2047
1058;204712;12;2047;12/2047
1059;204800;0;2048;00/2048
1060;204814;14;2048;14/2048
1061;204813;13;2048;13/2048
1062;204801;1;2048;01/2048
1063;204802;2;2048;02/2048
1064;204803;3;2048;03/2048
1065;204804;4;2048;04/2048
1066;204805;5;2048;05/2048
1067;204806;6;2048;06/2048
1068;204807;7;2048;07/2048
1069;204808;8;2048;08/2048
1070;204809;9;2048;09/2048
1071;204810;10;2048;10/2048
1072;204811;11;2048;11/2048
1073;204812;12;2048;12/2048
1074;204900;0;2049;00/2049
1075;204914;14;2049;14/2049
1076;204913;13;2049;13/2049
1077;204901;1;2049;01/2049
1078;204902;2;2049;02/2049
1079;204903;3;2049;03/2049
1080;204904;4;2049;04/2049
1081;204905;5;2049;05/2049
1082;204906;6;2049;06/2049
1083;204907;7;2049;07/2049
1084;204908;8;2049;08/2049
1085;204909;9;2049;09/2049
1086;204910;10;2049;10/2049
1087;204911;11;2049;11/2049
1088;204912;12;2049;12/2049
1089;205000;0;2050;00/2050
1090;205014;14;2050;14/2050
1091;205013;13;2050;13/2050
1092;205001;1;2050;01/2050
1093;205002;2;2050;02/2050
1094;205003;3;2050;03/2050
1095;205004;4;2050;04/2050
1096;205005;5;2050;05/2050
1097;205006;6;2050;06/2050
1098;205007;7;2050;07/2050
1099;205008;8;2050;08/2050
1100;205009;9;2050;09/2050
1101;205010;10;2050;10/2050
1102;205011;11;2050;11/2050
1103;205012;12;2050;12/2050
1104;193405;5;1934;05/1934
1105;193500;0;1935;00/1935
1106;193406;6;1934;06/1934
1107;193407;7;1934;07/1934
1108;193408;8;1934;08/1934
1109;193409;9;1934;09/1934
1110;193410;10;1934;10/1934
1111;193411;11;1934;11/1934
1112;193412;12;1934;12/1934
1113;193514;14;1935;14/1935
1114;193513;13;1935;13/1935
1115;193501;1;1935;01/1935
1116;193502;2;1935;02/1935
1117;193503;3;1935;03/1935
1118;193504;4;1935;04/1935
1119;193505;5;1935;05/1935
1120;193506;6;1935;06/1935
1121;193507;7;1935;07/1935
1122;193508;8;1935;08/1935
1123;193509;9;1935;09/1935
1124;193510;10;1935;10/1935
1125;193511;11;1935;11/1935
1126;193512;12;1935;12/1935
1127;193600;0;1936;00/1936
1128;193614;14;1936;14/1936
1129;193613;13;1936;13/1936
1130;193601;1;1936;01/1936
1131;193602;2;1936;02/1936
1132;193603;3;1936;03/1936
1133;193604;4;1936;04/1936
1134;193605;5;1936;05/1936
1135;193606;6;1936;06/1936
1136;193607;7;1936;07/1936
1137;193608;8;1936;08/1936
1138;193609;9;1936;09/1936
1139;193610;10;1936;10/1936
1140;193611;11;1936;11/1936
1141;193612;12;1936;12/1936
1142;193700;0;1937;00/1937
1143;193714;14;1937;14/1937
1144;193713;13;1937;13/1937
1145;193701;1;1937;01/1937
1146;193702;2;1937;02/1937
1147;193703;3;1937;03/1937
1148;193704;4;1937;04/1937
1149;193705;5;1937;05/1937
1150;193706;6;1937;06/1937
1151;193707;7;1937;07/1937
1152;193708;8;1937;08/1937
1153;193709;9;1937;09/1937
1154;193710;10;1937;10/1937
1155;193711;11;1937;11/1937
1156;193712;12;1937;12/1937
1157;193800;0;1938;00/1938
1158;193814;14;1938;14/1938
1159;193813;13;1938;13/1938
1160;193801;1;1938;01/1938
1161;193802;2;1938;02/1938
1162;193803;3;1938;03/1938
1163;202406;6;2024;06/2024
1164;202407;7;2024;07/2024
1165;202408;8;2024;08/2024
1166;202409;9;2024;09/2024
1167;202410;10;2024;10/2024
1168;202411;11;2024;11/2024
1169;202412;12;2024;12/2024
1170;202500;0;2025;00/2025
1171;202514;14;2025;14/2025
1172;202513;13;2025;13/2025
1173;202501;1;2025;01/2025
1174;202502;2;2025;02/2025
1175;202503;3;2025;03/2025
1176;202504;4;2025;04/2025
1177;202505;5;2025;05/2025
1178;202506;6;2025;06/2025
1179;202507;7;2025;07/2025
1180;202508;8;2025;08/2025
1181;202509;9;2025;09/2025
1182;202510;10;2025;10/2025
1183;202511;11;2025;11/2025
1184;202512;12;2025;12/2025
1185;202600;0;2026;00/2026
1186;202614;14;2026;14/2026
1187;202613;13;2026;13/2026
1188;202601;1;2026;01/2026
1189;202602;2;2026;02/2026
1190;202603;3;2026;03/2026
1191;202604;4;2026;04/2026
1192;202605;5;2026;05/2026
1193;202606;6;2026;06/2026
1194;202607;7;2026;07/2026
1195;202608;8;2026;08/2026
1196;202609;9;2026;09/2026
1197;202610;10;2026;10/2026
1198;202611;11;2026;11/2026
1199;202612;12;2026;12/2026
1200;202700;0;2027;00/2027
1201;202714;14;2027;14/2027
1202;202713;13;2027;13/2027
1203;202701;1;2027;01/2027
1204;202702;2;2027;02/2027
1205;202703;3;2027;03/2027
1206;202704;4;2027;04/2027
1207;202705;5;2027;05/2027
1208;202706;6;2027;06/2027
1209;202707;7;2027;07/2027
1210;202708;8;2027;08/2027
1211;202709;9;2027;09/2027
1212;202710;10;2027;10/2027
1213;202711;11;2027;11/2027
1214;202712;12;2027;12/2027
1215;202800;0;2028;00/2028
1216;202814;14;2028;14/2028
1217;202813;13;2028;13/2028
1218;202801;1;2028;01/2028
1219;202802;2;2028;02/2028
1220;202803;3;2028;03/2028
1221;202804;4;2028;04/2028
1222;202805;5;2028;05/2028
1223;202806;6;2028;06/2028
1224;202807;7;2028;07/2028
1225;202808;8;2028;08/2028
1226;202809;9;2028;09/2028
1227;202810;10;2028;10/2028
1228;202811;11;2028;11/2028
1229;202812;12;2028;12/2028
1230;202900;0;2029;00/2029
1231;202914;14;2029;14/2029
1232;190000;0;1900;00/1900
1233;190014;14;1900;14/1900
1234;195508;8;1955;08/1955
1235;195509;9;1955;09/1955
1236;195510;10;1955;10/1955
1237;195511;11;1955;11/1955
1238;195512;12;1955;12/1955
1239;195600;0;1956;00/1956
1240;195614;14;1956;14/1956
1241;195613;13;1956;13/1956
1242;195601;1;1956;01/1956
1243;195602;2;1956;02/1956
1244;195603;3;1956;03/1956
1245;195604;4;1956;04/1956
1246;195605;5;1956;05/1956
1247;195606;6;1956;06/1956
1248;195607;7;1956;07/1956
1249;195608;8;1956;08/1956
1250;195609;9;1956;09/1956
1251;195610;10;1956;10/1956
1252;195611;11;1956;11/1956
1253;195612;12;1956;12/1956
1254;195700;0;1957;00/1957
1255;195714;14;1957;14/1957
1256;195713;13;1957;13/1957
1257;195701;1;1957;01/1957
1258;195702;2;1957;02/1957
1259;195703;3;1957;03/1957
1;191800;0;1918;00/1918
2;191702;2;1917;02/1917
3;191703;3;1917;03/1917
4;191704;4;1917;04/1917
5;191705;5;1917;05/1917
6;191706;6;1917;06/1917
7;191707;7;1917;07/1917
8;191708;8;1917;08/1917
9;191709;9;1917;09/1917
10;191710;10;1917;10/1917
11;191711;11;1917;11/1917
12;191712;12;1917;12/1917
13;191814;14;1918;14/1918
14;191813;13;1918;13/1918
15;191801;1;1918;01/1918
16;191802;2;1918;02/1918
17;191803;3;1918;03/1918
18;191804;4;1918;04/1918
19;191805;5;1918;05/1918
20;191806;6;1918;06/1918
21;191807;7;1918;07/1918
